Volcano Number,Eruption Number,Volcano Name,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude,Start_Date,End_Date,bbox
300130,22609,Karymsky,,2025,,4,,30,,>,2025,,5,,2,,54.049,159.443,2025-04-30,2025-05-02,"[54.03165078433657, 159.40758242983895, 54.06904233820455, 159.4898004107094]"
334050,22613,Northern EPR at 9.8°N,,2025,,4,,28,,,2025,,4,,29,,9.83,-104.3,2025-04-28,2025-04-29,
273010,22608,Bulusan,,2025,,4,,28,,>,2025,,5,,2,,12.769,124.056,2025-04-28,2025-05-02,"[12.76037572885907, 124.04051915187372, 12.780391229785751, 124.06891850697968]"
300260,22610,Klyuchevskoy,,2025,,4,,8,,>,2025,,5,,2,,56.056,160.642,2025-04-08,2025-05-02,
371020,22612,Reykjanes,,2025,,4,,1,,,2025,,4,,1,,63.817,-22.717,2025-04-01,2025-04-01,
252120,22606,Ulawun,,2025,,3,,27,,>,2025,,4,,21,,-5.05,151.33,2025-03-27,2025-04-21,
263340,22607,Raung,,2025,,3,,13,,,2025,,3,,13,,-8.119,114.056,2025-03-13,2025-03-13,"[-8.13365743655555, 114.03740097860978, -8.104902974500229, 114.07047891553886]"
311160,22611,Atka Volcanic Complex,,2025,,2,,20,,>,2025,,5,,2,,52.331,-174.139,2025-02-20,2025-05-02,
351060,22604,Purace,,2025,,1,,19,,,2025,,2,,21,,2.3095,-76.3948,2025-01-19,2025-02-21,
264230,22601,Lewotolok,,2025,,1,,16,,>,2025,,5,,2,,-8.274,123.508,2025-01-16,2025-05-02,
344040,22602,Telica,,2025,,1,,11,,>,2025,,5,,2,,12.606,-86.84,2025-01-11,2025-05-02,
345040,22603,Poas,,2025,,1,,5,,>,2025,,5,,2,,10.2,-84.233,2025-01-05,2025-05-02,
300250,22605,Bezymianny,,2024,,12,,24,,>,2025,,5,,2,,55.972,160.595,2024-12-24,2025-05-02,
332010,22597,Kilauea,,2024,,12,,23,,>,2025,,5,,2,,19.421,-155.287,2024-12-23,2025-05-02,
